Year,NDVI,NDBI,MNDWI,BSI
2000,-0.01839352957904339,-0.001638850080780685,-0.03818095475435257,0.09539970010519028
2010,-0.006513967178761959,-0.015099328942596912,-0.04486897215247154,0.06238028407096863
2022,-0.013422509655356407,0.19595791399478912,-0.0821249857544899,0.20858138799667358
