Period,dUrban_km2,dVeg_km2,dWater_km2,dDesert_km2,dNDVI,dNDBI,dMNDWI,dBSI
2000 -> 2010,0.0,1.017,-3.039300000000001,-13.715099999999993,0.01187956240028143,-0.013460478745400906,-0.006688017398118973,-0.03301941603422165
2000 -> 2022,16.432199999999998,23.6484,-27.737099999999998,-49.50719999999999,0.004971019923686981,0.19759675860404968,-0.04394403100013733,0.1131816878914833
2010 -> 2022,16.432199999999998,22.6314,-24.697799999999997,-35.7921,-0.006908542476594448,0.21105724573135376,-0.037256013602018356,0.14620110392570496
