Year,Water,Urban,Vegetation,Desert,Mixed Surface
2000,28.9944,0.0,0.3951,101.32379999999999,13.6467
2010,25.955099999999998,0.0,1.4121,87.6087,29.3841
2022,1.2572999999999999,16.432199999999998,24.043499999999998,51.8166,43.393499999999996
